name	filename	type	projectName	description	tagList	captionList	groupList	projectURL
Detail	A_Chandelier_For_One_of_Many_Possible_Endings-01.jpg	image	A Chandelier for One of Many Possible Ends	"LED diffusers and geiger counter, in aluminum framing"	"[""chandelier"",""radiation"",""artandscience"",""geigercounter"",""lightart"",""lightinstallation"",""lightandsound"",""installation"",""lightinstallation"",""lightingdesign"",""installationart""]"	"[""Completed in 2014\n\nPictured installed in 2015 @ Burchfield Penney Art Center\n\nMaterials: Custom light fixtures, Geiger counters\n\nA light installation with sound composed of 92 light elements, each representing an electron in the Uranium atom. Every light is connected to its own Geiger counter, making them responsive to ambient radioactivity. Light is emitted in a brief flash, along with an audible click, when radioactivity is detected.""]"	"[""A Chandelier for One of Many Possible Ends""]"	https://phillipstearns.com/artwork#/chandelier/
Detail	A_Chandelier_For_One_of_Many_Possible_Endings-04.jpg	image	A Chandelier for One of Many Possible Ends	Extreme close-up. Upward Angle. Long exposure.	"[""chandelier"",""radiation"",""artandscience"",""geigercounter"",""lightart"",""lightinstallation"",""lightandsound"",""installation"",""lightinstallation"",""lightingdesign"",""installationart""]"	"[""Completed in 2014\n\nPictured installed in 2015 @ Burchfield Penney Art Center\n\nMaterials: Custom light fixtures, Geiger counters\n\nA light installation with sound composed of 92 light elements, each representing an electron in the Uranium atom. Every light is connected to its own Geiger counter, making them responsive to ambient radioactivity. Light is emitted in a brief flash, along with an audible click, when radioactivity is detected.""]"	"[""A Chandelier for One of Many Possible Ends""]"	https://phillipstearns.com/artwork#/chandelier/
Detail	A_Chandelier_For_One_of_Many_Possible_Endings-05.jpg	image	A Chandelier for One of Many Possible Ends	Close-up. Long exposure.	"[""chandelier"",""radiation"",""artandscience"",""geigercounter"",""lightart"",""lightinstallation"",""lightandsound"",""installation"",""lightinstallation"",""lightingdesign"",""installationart""]"	"[""Completed in 2014\n\nPictured installed in 2015 @ Burchfield Penney Art Center\n\nMaterials: Custom light fixtures, Geiger counters\n\nA light installation with sound composed of 92 light elements, each representing an electron in the Uranium atom. Every light is connected to its own Geiger counter, making them responsive to ambient radioactivity. Light is emitted in a brief flash, along with an audible click, when radioactivity is detected.""]"	"[""A Chandelier for One of Many Possible Ends""]"	https://phillipstearns.com/artwork#/chandelier/
Detail	A_Chandelier-GreeneFellowship2024-1044.jpg	image	A Chandelier for One of Many Possible Ends	Mid shot. Upward Angle. Long exposure.	"[""chandelier"",""radiation"",""artandscience"",""geigercounter"",""lightart"",""lightinstallation"",""lightandsound"",""installation"",""lightinstallation"",""lightingdesign"",""installationart""]"	"[""Completed in 2014\n\nPictured installed in 2015 @ Burchfield Penney Art Center\n\nMaterials: Custom light fixtures, Geiger counters\n\nA light installation with sound composed of 92 light elements, each representing an electron in the Uranium atom. Every light is connected to its own Geiger counter, making them responsive to ambient radioactivity. Light is emitted in a brief flash, along with an audible click, when radioactivity is detected.""]"	"[""A Chandelier for One of Many Possible Ends""]"	https://phillipstearns.com/artwork#/chandelier/
Installation View	A_Chandelier-GreeneFellowship2024-1070.jpg	image	A Chandelier for One of Many Possible Ends	Full view. Long Exposure.	"[""chandelier"",""radiation"",""artandscience"",""geigercounter"",""lightart"",""lightinstallation"",""lightandsound"",""installation"",""lightinstallation"",""lightingdesign"",""installationart""]"	"[""Completed in 2014\n\nPictured installed in 2015 @ Burchfield Penney Art Center\n\nMaterials: Custom light fixtures, Geiger counters\n\nA light installation with sound composed of 92 light elements, each representing an electron in the Uranium atom. Every light is connected to its own Geiger counter, making them responsive to ambient radioactivity. Light is emitted in a brief flash, along with an audible click, when radioactivity is detected.""]"	"[""A Chandelier for One of Many Possible Ends""]"	https://phillipstearns.com/artwork#/chandelier/
Gallery Viewers	A_Chandelier-GreeneFellowship2024-1110.jpg	image	A Chandelier for One of Many Possible Ends	Adults and child showing scale.	"[""chandelier"",""radiation"",""artandscience"",""geigercounter"",""lightart"",""lightinstallation"",""lightandsound"",""installation"",""lightinstallation"",""lightingdesign"",""installationart""]"	"[""Completed in 2014\n\nPictured installed in 2015 @ Burchfield Penney Art Center\n\nMaterials: Custom light fixtures, Geiger counters\n\nA light installation with sound composed of 92 light elements, each representing an electron in the Uranium atom. Every light is connected to its own Geiger counter, making them responsive to ambient radioactivity. Light is emitted in a brief flash, along with an audible click, when radioactivity is detected.""]"	"[""A Chandelier for One of Many Possible Ends""]"	https://phillipstearns.com/artwork#/chandelier/
Installation View	A_Chandelier-GreeneFellowship2024-1135.jpg	image	A Chandelier for One of Many Possible Ends	Wide view. Long Exposure.	"[""chandelier"",""radiation"",""artandscience"",""geigercounter"",""lightart"",""lightinstallation"",""lightandsound"",""installation"",""lightinstallation"",""lightingdesign"",""installationart""]"	"[""Completed in 2014\n\nPictured installed in 2015 @ Burchfield Penney Art Center\n\nMaterials: Custom light fixtures, Geiger counters\n\nA light installation with sound composed of 92 light elements, each representing an electron in the Uranium atom. Every light is connected to its own Geiger counter, making them responsive to ambient radioactivity. Light is emitted in a brief flash, along with an audible click, when radioactivity is detected.""]"	"[""A Chandelier for One of Many Possible Ends""]"	https://phillipstearns.com/artwork#/chandelier/
Installation View	A_Consequence-IMG_9353.jpg	image	A Consequence of Infinitely Discursive Vision Technologies	Full view.	"[""installation"",""electronicart"",""artinstallation"",""installationart"",""mixedmedia"",""videoart"",""neon"",""creativecoding"",""processing"",""mediaart"",""digitalart""]"	"[""Completed 2014\n\nInstalled @ Fridman Gallery\n\nMaterials: Neon, 3 channel Video w/ Audio, Projectors, Flatscreen TV, Media Players, Wire, Audio Amplifier, Speakers\n\nThe history of the landscape within art touches upon notions of identity, scale, location, and temporality. There is a timelessness about the topic of landscapes and their representation in various media throughout the arts. This work operates within the space of luminescent media technologies, addressing the mediation and re-presentation of environmental modes of being as present within various contemporary landscapes.""]"	"[""A Consequence of Infinitely Discursive Vision Technologies""]"	https://phillipstearns.com/artwork#/consequence/
Installation Detail	A_Consequence-IMG_9360.jpg	image	A Consequence of Infinitely Discursive Vision Technologies	Wide view of projection and equipment.	"[""installation"",""electronicart"",""artinstallation"",""installationart"",""mixedmedia"",""videoart"",""neon"",""creativecoding"",""processing"",""mediaart"",""digitalart""]"	"[""Completed 2014\n\nInstalled @ Fridman Gallery\n\nMaterials: Neon, 3 channel Video w/ Audio, Projectors, Flatscreen TV, Media Players, Wire, Audio Amplifier, Speakers\n\nThe history of the landscape within art touches upon notions of identity, scale, location, and temporality. There is a timelessness about the topic of landscapes and their representation in various media throughout the arts. This work operates within the space of luminescent media technologies, addressing the mediation and re-presentation of environmental modes of being as present within various contemporary landscapes.""]"	"[""A Consequence of Infinitely Discursive Vision Technologies""]"	https://phillipstearns.com/artwork#/consequence/
Installation Detail	A_Consequence-IMG_9365.jpg	image	A Consequence of Infinitely Discursive Vision Technologies	Close perspective of projection with neon.	"[""installation"",""electronicart"",""artinstallation"",""installationart"",""mixedmedia"",""videoart"",""neon"",""creativecoding"",""processing"",""mediaart"",""digitalart""]"	"[""Completed 2014\n\nInstalled @ Fridman Gallery\n\nMaterials: Neon, 3 channel Video w/ Audio, Projectors, Flatscreen TV, Media Players, Wire, Audio Amplifier, Speakers\n\nThe history of the landscape within art touches upon notions of identity, scale, location, and temporality. There is a timelessness about the topic of landscapes and their representation in various media throughout the arts. This work operates within the space of luminescent media technologies, addressing the mediation and re-presentation of environmental modes of being as present within various contemporary landscapes.""]"	"[""A Consequence of Infinitely Discursive Vision Technologies""]"	https://phillipstearns.com/artwork#/consequence/
